No.,Entidad,Organo,Grupo,Emisora,IdEmisora,Fecha de transmisión del material,Hora transmisión,Folio,Versión,Actor,Notificado,Oficio
1,AGUASCALIENTES,DATERT,IMAGEN,XHCTAG-TDT-CANAL18.2,4825,17/10/2023,22:40:46,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
2,AGUASCALIENTES,DATERT,IMAGEN,XHCTAG-TDT-CANAL18.2,4825,18/10/2023,22:40:14,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6673_2023
3,AGUASCALIENTES,DATERT,DIONICIO FLORES CUELLAR,XHDC-FM-104.5,2537,20/10/2023,14:33:51,RA00817-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6506_2023
4,AGUASCALIENTES,DATERT,TV AZTECA,XHJCM-TDT-CANAL30,3108,20/10/2023,21:05:15,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6674_2023
5,AGUASCALIENTES,DATERT,IMAGEN,XHCTAG-TDT-CANAL18.2,4825,20/10/2023,22:39:04,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6673_2023
6,AGUASCALIENTES,DATERT,IMAGEN,XHCTAG-TDT-CANAL18.2,4825,23/10/2023,21:34:30,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
7,AGUASCALIENTES,DATERT,IMAGEN,XHCTAG-TDT-CANAL18.2,4825,30/10/2023,22:39:11,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6673_2023
8,AGUASCALIENTES,DATERT,IMAGEN,XHCTAG-TDT-CANAL18.2,4825,31/10/2023,22:40:20,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
9,BAJA CALIFORNIA,DATERT,HÉCTOR DE ISLA PUGA DURÁN,XEPE-AM-1700,92,16/10/2023,07:23:00,RA00745-23,MUJERES EN ACCIÓN V1 ,PAN,Sí,INE_DEPPP_DATERT_6513_2023
10,BAJA CALIFORNIA,DATERT,MARIO VALDÉZ HERNÁNDEZ,XEABCA-AM-820,105,16/10/2023,16:37:00,RA00644-23,DESARROLLO ECONÓMICO NL MCN,MC,Sí,INE_DEPPP_DATERT_6543_2023
